Эмодзи: 🥇, Идентификатор: :1st_place_medal:
Эмодзи: 🇱🇾, Идентификатор: :Libya:
Эмодзи: 🇱🇮, Идентификатор: :Liechtenstein:
Эмодзи: 🇱🇹, Идентификатор: :Lithuania:
Эмодзи: 🇱🇺, Идентификатор: :Luxembourg:
Эмодзи: 🇲🇴, Идентификатор: :Macao_SAR_China:
Эмодзи: 🇲🇬, Идентификатор: :Madagascar:
Эмодзи: 🇲🇼, Идентификатор: :Malawi:
Эмодзи: 🇲🇾, Идентификатор: :Malaysia:
Эмодзи: 🇲🇻, Идентификатор: :Maldives:
Эмодзи: 🇲🇱, Идентификатор: :Mali:
Эмодзи: 🇲🇹, Идентификатор: :Malta:
Эмодзи: 🇲🇭, Идентификатор: :Marshall_Islands:
Эмодзи: 🇲🇶, Идентификатор: :Martinique:
Эмодзи: 🇲🇷, Идентификатор: :Mauritania:
Эмодзи: 🇲🇺, Идентификатор: :Mauritius:
Эмодзи: 🇾🇹, Идентификатор: :Mayotte:
Эмодзи: 🇲🇽, Идентификатор: :Mexico:
Эмодзи: 🇫🇲, Идентификатор: :Micronesia:
Эмодзи: 🇲🇩, Идентификатор: :Moldova:
Эмодзи: 🇲🇨, Идентификатор: :Monaco:
Эмодзи: 🇲🇳, Идентификатор: :Mongolia:
Эмодзи: 🇲🇪, Идентификатор: :Montenegro:
Эмодзи: 🇲🇸, Идентификатор: :Montserrat:
Эмодзи: 🇲🇦, Идентификатор: :Morocco:
Эмодзи: 🇲🇿, Идентификатор: :Mozambique:
Эмодзи: 🤶, Идентификатор: :Mrs._Claus:
Эмодзи: 🤶🏿, Идентификатор: :Mrs._Claus_dark_skin_tone:
Эмодзи: 🤶🏻, Идентификатор: :Mrs._Claus_light_skin_tone:
Эмодзи: 🤶🏾, Идентификатор: :Mrs._Claus_medium-dark_skin_tone:
Эмодзи: 🤶🏼, Идентификатор: :Mrs._Claus_medium-light_skin_tone:
Эмодзи: 🤶🏽, Идентификатор: :Mrs._Claus_medium_skin_tone:
Эмодзи: 🧑‍🎄, Идентификатор: :Mx_Claus:
Эмодзи: 🧑🏿‍🎄, Идентификатор: :Mx_Claus_dark_skin_tone:
Эмодзи: 🧑🏻‍🎄, Идентификатор: :Mx_Claus_light_skin_tone:
Эмодзи: 🧑🏾‍🎄, Идентификатор: :Mx_Claus_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🎄, Идентификатор: :Mx_Claus_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🎄, Идентификатор: :Mx_Claus_medium_skin_tone:
Эмодзи: 🇲🇲, Идентификатор: :Myanmar_(Burma):
Эмодзи: 🆕, Идентификатор: :NEW_button:
Эмодзи: 🆖, Идентификатор: :NG_button:
Эмодзи: 🇳🇦, Идентификатор: :Namibia:
Эмодзи: 🇳🇷, Идентификатор: :Nauru:
Эмодзи: 🇳🇵, Идентификатор: :Nepal:
Эмодзи: 🇳🇱, Идентификатор: :Netherlands:
Эмодзи: 🇳🇨, Идентификатор: :New_Caledonia:
Эмодзи: 🇳🇿, Идентификатор: :New_Zealand:
Эмодзи: 🇳🇮, Идентификатор: :Nicaragua:
Эмодзи: 🇳🇪, Идентификатор: :Niger:
Эмодзи: 🇳🇬, Идентификатор: :Nigeria:
Эмодзи: 🇳🇺, Идентификатор: :Niue:
Эмодзи: 🇳🇫, Идентификатор: :Norfolk_Island:
Эмодзи: 🇰🇵, Идентификатор: :North_Korea:
Эмодзи: 🇲🇰, Идентификатор: :North_Macedonia:
Эмодзи: 🇲🇵, Идентификатор: :Northern_Mariana_Islands:
Эмодзи: 🇳🇴, Идентификатор: :Norway:
Эмодзи: 🆗, Идентификатор: :OK_button:
Эмодзи: 👌, Идентификатор: :OK_hand:
Эмодзи: 👌🏿, Идентификатор: :OK_hand_dark_skin_tone:
Эмодзи: 👌🏻, Идентификатор: :OK_hand_light_skin_tone:
Эмодзи: 👌🏾, Идентификатор: :OK_hand_medium-dark_skin_tone:
Эмодзи: 👌🏼, Идентификатор: :OK_hand_medium-light_skin_tone:
Эмодзи: 👌🏽, Идентификатор: :OK_hand_medium_skin_tone:
Эмодзи: 🔛, Идентификатор: :ON!_arrow:
Эмодзи: 🅾️, Идентификатор: :O_button_(blood_type):
Эмодзи: 🅾, Идентификатор: :O_button_(blood_type):
Эмодзи: 🇴🇲, Идентификатор: :Oman:
Эмодзи: ⛎, Идентификатор: :Ophiuchus:
Эмодзи: 🅿️, Идентификатор: :P_button:
Эмодзи: 🅿, Идентификатор: :P_button:
Эмодзи: 🇵🇰, Идентификатор: :Pakistan:
Эмодзи: 🇵🇼, Идентификатор: :Palau:
Эмодзи: 🇵🇸, Идентификатор: :Palestinian_Territories:
Эмодзи: 🇵🇦, Идентификатор: :Panama:
Эмодзи: 🇵🇬, Идентификатор: :Papua_New_Guinea:
Эмодзи: 🇵🇾, Идентификатор: :Paraguay:
Эмодзи: 🇵🇪, Идентификатор: :Peru:
Эмодзи: 🇵🇭, Идентификатор: :Philippines:
Эмодзи: ♓, Идентификатор: :Pisces:
Эмодзи: 🇵🇳, Идентификатор: :Pitcairn_Islands:
Эмодзи: 🇵🇱, Идентификатор: :Poland:
Эмодзи: 🇵🇹, Идентификатор: :Portugal:
Эмодзи: 🇵🇷, Идентификатор: :Puerto_Rico:
Эмодзи: 🇶🇦, Идентификатор: :Qatar:
Эмодзи: 🇷🇴, Идентификатор: :Romania:
Эмодзи: 🇷🇺, Идентификатор: :Russia:
Эмодзи: 🇷🇼, Идентификатор: :Rwanda:
Эмодзи: 🇷🇪, Идентификатор: :Réunion:
Эмодзи: 🔜, Идентификатор: :SOON_arrow:
Эмодзи: 🆘, Идентификатор: :SOS_button:
Эмодзи: ♐, Идентификатор: :Sagittarius:
Эмодзи: 🇼🇸, Идентификатор: :Samoa:
Эмодзи: 🇸🇲, Идентификатор: :San_Marino:
Эмодзи: 🎅, Идентификатор: :Santa_Claus:
Эмодзи: 🎅🏿, Идентификатор: :Santa_Claus_dark_skin_tone:
Эмодзи: 🎅🏻, Идентификатор: :Santa_Claus_light_skin_tone:
Эмодзи: 🎅🏾, Идентификатор: :Santa_Claus_medium-dark_skin_tone:
Эмодзи: 🎅🏼, Идентификатор: :Santa_Claus_medium-light_skin_tone:
Эмодзи: 🎅🏽, Идентификатор: :Santa_Claus_medium_skin_tone:
Эмодзи: 🇨🇶, Идентификатор: :Sark:
Эмодзи: 🇸🇦, Идентификатор: :Saudi_Arabia:
Эмодзи: ♏, Идентификатор: :Scorpio:
Эмодзи: 🏴󠁧󠁢󠁳󠁣󠁴󠁿, Идентификатор: :Scotland:
Эмодзи: 🇸🇳, Идентификатор: :Senegal:
Эмодзи: 🇷🇸, Идентификатор: :Serbia:
Эмодзи: 🇸🇨, Идентификатор: :Seychelles:
Эмодзи: 🇸🇱, Идентификатор: :Sierra_Leone:
Эмодзи: 🇸🇬, Идентификатор: :Singapore:
Эмодзи: 🇸🇽, Идентификатор: :Sint_Maarten:
Эмодзи: 🇸🇰, Идентификатор: :Slovakia:
Эмодзи: 🇸🇮, Идентификатор: :Slovenia:
Эмодзи: 🇸🇧, Идентификатор: :Solomon_Islands:
Эмодзи: 🇸🇴, Идентификатор: :Somalia:
Эмодзи: 🇿🇦, Идентификатор: :South_Africa:
Эмодзи: 🇬🇸, Идентификатор: :South_Georgia_&_South_Sandwich_Islands:
Эмодзи: 🇰🇷, Идентификатор: :South_Korea:
Эмодзи: 🇸🇸, Идентификатор: :South_Sudan:
Эмодзи: 🇪🇸, Идентификатор: :Spain:
Эмодзи: 🇱🇰, Идентификатор: :Sri_Lanka:
Эмодзи: 🇧🇱, Идентификатор: :St._Barthélemy:
Эмодзи: 🇸🇭, Идентификатор: :St._Helena:
Эмодзи: 🇰🇳, Идентификатор: :St._Kitts_&_Nevis:
Эмодзи: 🇱🇨, Идентификатор: :St._Lucia:
Эмодзи: 🇲🇫, Идентификатор: :St._Martin:
Эмодзи: 🇵🇲, Идентификатор: :St._Pierre_&_Miquelon:
Эмодзи: 🇻🇨, Идентификатор: :St._Vincent_&_Grenadines:
Эмодзи: 🗽, Идентификатор: :Statue_of_Liberty:
Эмодзи: 🇸🇩, Идентификатор: :Sudan:
Эмодзи: 🇸🇷, Идентификатор: :Suriname:
Эмодзи: 🇸🇯, Идентификатор: :Svalbard_&_Jan_Mayen:
Эмодзи: 🇸🇪, Идентификатор: :Sweden:
Эмодзи: 🇨🇭, Идентификатор: :Switzerland:
Эмодзи: 🇸🇾, Идентификатор: :Syria:
Эмодзи: 🇸🇹, Идентификатор: :São_Tomé_&_Príncipe:
Эмодзи: 🦖, Идентификатор: :T-Rex:
Эмодзи: 🔝, Идентификатор: :TOP_arrow:
Эмодзи: 🇹🇼, Идентификатор: :Taiwan:
Эмодзи: 🇹🇯, Идентификатор: :Tajikistan:
Эмодзи: 🇹🇿, Идентификатор: :Tanzania:
Эмодзи: ♉, Идентификатор: :Taurus:
Эмодзи: 🇹🇭, Идентификатор: :Thailand:
Эмодзи: 🇹🇱, Идентификатор: :Timor-Leste:
Эмодзи: 🇹🇬, Идентификатор: :Togo:
Эмодзи: 🇹🇰, Идентификатор: :Tokelau:
Эмодзи: 🗼, Идентификатор: :Tokyo_tower:
Эмодзи: 🇹🇴, Идентификатор: :Tonga:
Эмодзи: 🇹🇹, Идентификатор: :Trinidad_&_Tobago:
Эмодзи: 🇹🇦, Идентификатор: :Tristan_da_Cunha:
Эмодзи: 🇹🇳, Идентификатор: :Tunisia:
Эмодзи: 🇹🇲, Идентификатор: :Turkmenistan:
Эмодзи: 🇹🇨, Идентификатор: :Turks_&_Caicos_Islands:
Эмодзи: 🇹🇻, Идентификатор: :Tuvalu:
Эмодзи: 🇹🇷, Идентификатор: :Türkiye:
Эмодзи: 🇺🇲, Идентификатор: :U.S._Outlying_Islands:
Эмодзи: 🇻🇮, Идентификатор: :U.S._Virgin_Islands:
Эмодзи: 🆙, Идентификатор: :UP!_button:
Эмодзи: 🇺🇬, Идентификатор: :Uganda:
Эмодзи: 🇺🇦, Идентификатор: :Ukraine:
Эмодзи: 🇦🇪, Идентификатор: :United_Arab_Emirates:
Эмодзи: 🇬🇧, Идентификатор: :United_Kingdom:
Эмодзи: 🇺🇳, Идентификатор: :United_Nations:
Эмодзи: 🇺🇸, Идентификатор: :United_States:
Эмодзи: 🇺🇾, Идентификатор: :Uruguay:
Эмодзи: 🇺🇿, Идентификатор: :Uzbekistan:
Эмодзи: 🆚, Идентификатор: :VS_button:
Эмодзи: 🇻🇺, Идентификатор: :Vanuatu:
Эмодзи: 🇻🇦, Идентификатор: :Vatican_City:
Эмодзи: 🇻🇪, Идентификатор: :Venezuela:
Эмодзи: 🇻🇳, Идентификатор: :Vietnam:
Эмодзи: ♍, Идентификатор: :Virgo:
Эмодзи: 🏴󠁧󠁢󠁷󠁬󠁳󠁿, Идентификатор: :Wales:
Эмодзи: 🇼🇫, Идентификатор: :Wallis_&_Futuna:
Эмодзи: 🇪🇭, Идентификатор: :Western_Sahara:
Эмодзи: 🇾🇪, Идентификатор: :Yemen:
Эмодзи: 💤, Идентификатор: :ZZZ:
Эмодзи: 🇿🇲, Идентификатор: :Zambia:
Эмодзи: 🇿🇼, Идентификатор: :Zimbabwe:
Эмодзи: 🧮, Идентификатор: :abacus:
Эмодзи: 🪗, Идентификатор: :accordion:
Эмодзи: 🩹, Идентификатор: :adhesive_bandage:
Эмодзи: 🎟️, Идентификатор: :admission_tickets:
Эмодзи: 🎟, Идентификатор: :admission_tickets:
Эмодзи: 🚡, Идентификатор: :aerial_tramway:
Эмодзи: ✈️, Идентификатор: :airplane:
Эмодзи: ✈, Идентификатор: :airplane:
Эмодзи: 🛬, Идентификатор: :airplane_arrival:
Эмодзи: 🛫, Идентификатор: :airplane_departure:
Эмодзи: ⏰, Идентификатор: :alarm_clock:
Эмодзи: ⚗️, Идентификатор: :alembic:
Эмодзи: ⚗, Идентификатор: :alembic:
Эмодзи: 👽, Идентификатор: :alien:
Эмодзи: 👾, Идентификатор: :alien_monster:
Эмодзи: 🚑, Идентификатор: :ambulance:
Эмодзи: 🏈, Идентификатор: :american_football:
Эмодзи: 🏺, Идентификатор: :amphora:
Эмодзи: 🫀, Идентификатор: :anatomical_heart:
Эмодзи: ⚓, Идентификатор: :anchor:
Эмодзи: 💢, Идентификатор: :anger_symbol:
Эмодзи: 😠, Идентификатор: :angry_face:
Эмодзи: 👿, Идентификатор: :angry_face_with_horns:
Эмодзи: 😧, Идентификатор: :anguished_face:
Эмодзи: 🐜, Идентификатор: :ant:
Эмодзи: 📶, Идентификатор: :antenna_bars:
Эмодзи: 😰, Идентификатор: :anxious_face_with_sweat:
Эмодзи: 🚛, Идентификатор: :articulated_lorry:
Эмодзи: 🧑‍🎨, Идентификатор: :artist:
Эмодзи: 🧑🏿‍🎨, Идентификатор: :artist_dark_skin_tone:
Эмодзи: 🧑🏻‍🎨, Идентификатор: :artist_light_skin_tone:
Эмодзи: 🧑🏾‍🎨, Идентификатор: :artist_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🎨, Идентификатор: :artist_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🎨, Идентификатор: :artist_medium_skin_tone:
Эмодзи: 🎨, Идентификатор: :artist_palette:
Эмодзи: 😲, Идентификатор: :astonished_face:
Эмодзи: 🧑‍🚀, Идентификатор: :astronaut:
Эмодзи: 🧑🏿‍🚀, Идентификатор: :astronaut_dark_skin_tone:
Эмодзи: 🧑🏻‍🚀, Идентификатор: :astronaut_light_skin_tone:
Эмодзи: 🧑🏾‍🚀, Идентификатор: :astronaut_medium-dark_skin_tone:
Эмодзи: 🧑🏼‍🚀, Идентификатор: :astronaut_medium-light_skin_tone:
Эмодзи: 🧑🏽‍🚀, Идентификатор: :astronaut_medium_skin_tone:
Эмодзи: ⚛️, Идентификатор: :atom_symbol:
Эмодзи: ⚛, Идентификатор: :atom_symbol:
Эмодзи: 🛺, Идентификатор: :auto_rickshaw:
Эмодзи: 🚗, Идентификатор: :automobile:
Эмодзи: 🥑, Идентификатор: :avocado:
Эмодзи: 🪓, Идентификатор: :axe:
Эмодзи: 👶, Идентификатор: :baby:
Эмодзи: 👼, Идентификатор: :baby_angel:
Эмодзи: 👼🏿, Идентификатор: :baby_angel_dark_skin_tone:
Эмодзи: 👼🏻, Идентификатор: :baby_angel_light_skin_tone:
Эмодзи: 👼🏾, Идентификатор: :baby_angel_medium-dark_skin_tone:
Эмодзи: 👼🏼, Идентификатор: :baby_angel_medium-light_skin_tone:
Эмодзи: 👼🏽, Идентификатор: :baby_angel_medium_skin_tone:
Эмодзи: 🍼, Идентификатор: :baby_bottle:
Эмодзи: 🐤, Идентификатор: :baby_chick:
Эмодзи: 👶🏿, Идентификатор: :baby_dark_skin_tone:
Эмодзи: 👶🏻, Идентификатор: :baby_light_skin_tone:
Эмодзи: 👶🏾, Идентификатор: :baby_medium-dark_skin_tone:
Эмодзи: 👶🏼, Идентификатор: :baby_medium-light_skin_tone:
Эмодзи: 👶🏽, Идентификатор: :baby_medium_skin_tone:
Эмодзи: 🚼, Идентификатор: :baby_symbol:
Эмодзи: 👇, Идентификатор: :backhand_index_pointing_down:
Эмодзи: 👇🏿, Идентификатор: :backhand_index_pointing_down_dark_skin_tone:
Эмодзи: 👇🏻, Идентификатор: :backhand_index_pointing_down_light_skin_tone:
Эмодзи: 👇🏾, Идентификатор: :backhand_index_pointing_down_medium-dark_skin_tone:
Эмодзи: 👇🏼, Идентификатор: :backhand_index_pointing_down_medium-light_skin_tone:
Эмодзи: 👇🏽, Идентификатор: :backhand_index_pointing_down_medium_skin_tone:
Эмодзи: 👈, Идентификатор: :backhand_index_pointing_left:
Эмодзи: 👈🏿, Идентификатор: :backhand_index_pointing_left_dark_skin_tone:
Эмодзи: 👈🏻, Идентификатор: :backhand_index_pointing_left_light_skin_tone:
Эмодзи: 👈🏾, Идентификатор: :backhand_index_pointing_left_medium-dark_skin_tone:
Эмодзи: 👈🏼, Идентификатор: :backhand_index_pointing_left_medium-light_skin_tone:
Эмодзи: 👈🏽, Идентификатор: :backhand_index_pointing_left_medium_skin_tone:
Эмодзи: 👉, Идентификатор: :backhand_index_pointing_right:
Эмодзи: 👉🏿, Идентификатор: :backhand_index_pointing_right_dark_skin_tone:
Эмодзи: 👉🏻, Идентификатор: :backhand_index_pointing_right_light_skin_tone:
Эмодзи: 👉🏾, Идентификатор: :backhand_index_pointing_right_medium-dark_skin_tone:
Эмодзи: 👉🏼, Идентификатор: :backhand_index_pointing_right_medium-light_skin_tone:
Эмодзи: 👉🏽, Идентификатор: :backhand_index_pointing_right_medium_skin_tone:
Эмодзи: 👆, Идентификатор: :backhand_index_pointing_up:
Эмодзи: 👆🏿, Идентификатор: :backhand_index_pointing_up_dark_skin_tone:
